"project","scatteredVocabulary","confetti","homogeneous","intruder","snowFlakes","nearlyHomogeneous","fatBlob","tokens","classes","packages","maxDepth","maxChildren","maxChildrenRoot","maxDepthRoot","averageDepth","averageChildren","monoClasses","monoTokenClasses","multiTokenClasses","averageTokensPerMultiHierarchy","suspisciousTokens","hierarchies","multiTokenHierarchies","monoTokenMaxChildren","multiTokenMaxChildren"
"jpexsdecompiler","16.27906976744186","0","65.11627906976744","0","8.828522920203735","18.6046511627907","3.904923599320883","589","1811","213","6","285","GraphTargetItem","Tag","3","44","40.585311982330204","18.884594146880175","40.53009387078962","4.6","47.368421052631575","86","34.883720930232556","106","285"
"pulsar","9.523809523809524","0.5854800936768151","84.76190476190476","0.351288056206089","19.20374707259953","5.714285714285714","0.117096018735363","854","2289","343","8","107","TestRetrySupport","TestRetrySupport","3","23","71.99650502402795","12.975098296199214","15.028396679772825","6.0","9.133489461358314","105","15.238095238095239","21","107"
"geoserver","9.345794392523365","0.045787545787545784","83.48909657320873","0.18315018315018314","18.36080586080586","7.165109034267912","0.3663003663003663","2184","5791","655","5","217","GeoServerWicketTestSupport","GeoServerWicketTestSupport","3","26","64.91106890001727","21.049905025038854","14.039026074943878","5.0","18.635531135531135","321","16.510903426791277","43","217"
"dubbo","7.368421052631578","0","86.31578947368422","0","15.507411630558723","6.315789473684211","0.22805017103762829","877","1863","467","7","30","AbstractConfig","AbstractConfig","3","8","74.39613526570048","20.021470746108427","5.58239398819109","3.75","2.0524515393386547","95","13.684210526315791","16","30"
"lettucecore","10.81081081081081","0.38022813688212925","78.37837837837837","1.1406844106463878","15.209125475285171","10.81081081081081","1.1406844106463878","263","755","85","4","127","TestSupport","AbstractRedisReactiveCommands","2","17","65.69536423841059","12.582781456953644","21.721854304635762","3.0","45.247148288973385","37","21.62162162162162","14","127"
"bytebuddy","4.166666666666666","0","95.83333333333334","0","40.33613445378151","0","0","119","896","53","4","44","AbstractElementMatcherTest","AbstractTypeDescriptionGenericTest","2","11","79.46428571428571","20.200892857142858","0.33482142857142855","3.0","1.680672268907563","24","4.166666666666666","44","2"
"cryptomator","0","0","100.0","0","26.923076923076923","0","0","78","179","31","2","2","AbstractVolume","DefaultSceneFactory","1","1","97.20670391061452","2.793296089385475","0","0","0","2","0","2","0"
"jstorm","15.714285714285714","0.14513788098693758","72.85714285714285","0","13.497822931785198","11.428571428571429","0.43541364296081275","689","1289","263","4","73","BaseComponent","RunnableCallback","2","13","73.39022498060513","12.878200155159039","13.73157486423584","8.75","10.304789550072568","70","27.142857142857142","13","73"
"Activiti","4.3478260869565215","0","90.21739130434783","0","17.71771771771772","5.434782608695652","1.2012012012012012","666","2308","354","8","79","BaseElement","BaseElement","3","23","66.5944540727903","21.447140381282495","11.95840554592721","11.666666666666666","32.432432432432435","92","9.782608695652174","46","79"
"elasticsearch","18.201284796573873","0.6083490664988462","64.45396145610277","0.3775959723096287","17.24354940213971","17.34475374732334","0.8181246066708621","4767","13653","1416","9","339","BaseRestHandler","Node","5","67","59.854976928147664","12.846993334798212","27.298029737054126","19.125","40.50765680721628","467","35.54603854389722","134","339"
"spotbugs","14.285714285714285","0.12422360248447205","70.0","0.2484472049689441","15.527950310559005","15.714285714285714","0","805","2347","200","3","6","FBDialog","WarningSuppressor","2","3","91.22283766510438","5.7520238602471245","3.0251384746484873","3.0","1.8633540372670807","70","30.0","5","6"
"javaparser","11.76470588235294","0","67.64705882352942","0","26.765799256505574","20.588235294117645","0.7434944237918215","269","1294","126","20","159","AbstractSymbolResolutionTest","Validators","5","26","65.45595054095827","24.497681607418855","10.046367851622875","2.0","10.037174721189592","34","32.35294117647059","159","39"
"languagetool","7.547169811320755","0","88.67924528301887","0","13.442622950819672","3.7735849056603774","1.9672131147540985","610","1677","189","5","294","Rule","Rule","3","30","58.37805605247466","21.943947525342875","19.67799642218247","3.6666666666666665","3.4426229508196724","53","11.320754716981133","39","294"
"OpenSearch","18.421052631578945","0.6435006435006435","64.66165413533834","0.2574002574002574","17.331617331617334","16.917293233082706","0.42900042900042895","2331","6627","594","8","139","TransportMessage","BucketCollector","4","41","60.55530405915195","16.538403500829936","22.90629244001811","4.833333333333333","28.957528957528954","266","35.338345864661655","114","139"
"skywalking","8.928571428571429","0","84.82142857142857","0","17.7036561898653","6.25","0.12828736369467605","1559","3267","1038","4","63","ModuleProvider","StreamData","2","17","77.04315886134067","15.549433731251913","7.4074074074074066","6.166666666666667","4.041051956382296","112","15.178571428571427","63","43"
